
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.015939103994131388
fun_coils_simple#1 - J=1.9e-02, Jf=1.9e-02, ⟨B·n⟩=3.0e-02, C-C-Sep=0.14 Jf=1.9e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.2e-06, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.5, 3.5, 3.5])=14.0, curvature=[3.2, 3.5, 3.8, 3.9], mean squared curvature=[5.1, 5.1, 5.1, 5.1]
fun_coils_simple#12 - J=4.3e-03, Jf=3.8e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.08 Jf=3.8e-03, J_length=1.4e-06, J_CC=2.2e-06, J_CURVATURE=2.6e-08, J_MSC=4.3e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.7, 4.9, 5.0, 5.1], mean squared curvature=[6.6, 6.5, 6.4, 6.3]
fun_coils_simple#13 - J=4.1e-03, Jf=3.6e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.08 Jf=3.6e-03, J_length=1.4e-06, J_CC=3.1e-06, J_CURVATURE=1.7e-09, J_MSC=4.6e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.6, 5.0, 4.5, 5.0], mean squared curvature=[6.7, 6.6, 6.4, 6.3]
fun_coils_simple#14 - J=3.9e-03, Jf=3.4e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.07 Jf=3.4e-03, J_length=1.4e-06, J_CC=4.7e-06, J_CURVATURE=6.8e-08, J_MSC=5.1e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.4, 4.9, 4.9, 5.2], mean squared curvature=[6.8, 6.7, 6.6, 6.3]
fun_coils#1 - J=3.9e-03, Jf=3.4e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.07 Jf=3.4e-03, J_length=1.4e-06, J_CC=4.7e-06, J_CURVATURE=6.8e-08, J_MSC=5.1e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.4, 4.9, 4.9, 5.2], mean squared curvature=[6.8, 6.7, 6.6, 6.3]
fun_coils#2 - J=3.6e+01, Jf=5.1e-01, ⟨B·n⟩=2.9e-01, C-C-Sep=0.01 Jf=5.1e-01, J_length=8.1e-06, J_CC=4.3e-03, J_CURVATURE=6.6e-01, J_MSC=2.7e+01, J_ALS=5.1e-05, J_LENGTH_PENALTY=7.4e+00 Coil lengths=sum([7.9, 22.5, 35.6, 14.7])=80.6, curvature=[180.9, 142.3, 145.8, 1524.9], mean squared curvature=[174.0, 83.7, 45.9, 720.9]
fun_coils#3 - J=3.9e-03, Jf=3.4e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.07 Jf=3.4e-03, J_length=1.4e-06, J_CC=4.7e-06, J_CURVATURE=5.4e-08, J_MSC=5.0e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.4, 4.9, 4.9, 5.2], mean squared curvature=[6.8, 6.7, 6.5, 6.3]
fun_coils#4 - J=3.9e-03, Jf=3.4e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.07 Jf=3.4e-03, J_length=1.4e-06, J_CC=4.5e-06, J_CURVATURE=1.1e-10, J_MSC=4.6e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.5, 4.7, 4.9, 5.0], mean squared curvature=[6.8, 6.6, 6.4, 6.3]
fun_coils#5 - J=3.8e-03, Jf=3.4e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.07 Jf=3.4e-03, J_length=1.4e-06, J_CC=4.4e-06, J_CURVATURE=0.0e+00, J_MSC=4.4e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.5, 4.7, 4.7, 4.9], mean squared curvature=[6.7, 6.5, 6.4, 6.2]
fun_coils#6 - J=3.6e-03, Jf=3.2e-03, ⟨B·n⟩=9.8e-03, C-C-Sep=0.08 Jf=3.2e-03, J_length=1.4e-06, J_CC=3.5e-06, J_CURVATURE=0.0e+00, J_MSC=4.2e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.6, 5.0, 4.6, 4.6], mean squared curvature=[6.6, 6.6, 6.4, 6.2]
fun_coils#7 - J=3.7e-03, Jf=3.1e-03, ⟨B·n⟩=9.8e-03, C-C-Sep=0.08 Jf=3.1e-03, J_length=1.4e-06, J_CC=2.4e-06, J_CURVATURE=1.9e-07, J_MSC=5.6e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.3, 5.5, 4.7, 4.8], mean squared curvature=[6.6, 7.0, 6.7, 6.3]
fun_coils#8 - J=3.6e-03, Jf=3.2e-03, ⟨B·n⟩=9.7e-03, C-C-Sep=0.08 Jf=3.2e-03, J_length=1.4e-06, J_CC=3.0e-06, J_CURVATURE=0.0e+00, J_MSC=4.2e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.4, 4.8, 4.6, 4.7], mean squared curvature=[6.5, 6.5, 6.5, 6.2]
fun_coils#9 - J=3.5e-03, Jf=3.1e-03, ⟨B·n⟩=9.8e-03, C-C-Sep=0.08 Jf=3.1e-03, J_length=1.4e-06, J_CC=2.6e-06, J_CURVATURE=0.0e+00, J_MSC=3.8e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.4, 4.7, 4.5, 4.7], mean squared curvature=[6.5, 6.5, 6.4, 6.2]
fun_coils#10 - J=3.4e-03, Jf=3.1e-03, ⟨B·n⟩=9.9e-03, C-C-Sep=0.08 Jf=3.1e-03, J_length=1.4e-06, J_CC=2.0e-06, J_CURVATURE=0.0e+00, J_MSC=3.4e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.2, curvature=[4.4, 4.6, 4.4, 4.6], mean squared curvature=[6.4, 6.4, 6.3, 6.2]
fun_coils#11 - J=3.3e-03, Jf=3.0e-03, ⟨B·n⟩=9.9e-03, C-C-Sep=0.08 Jf=3.0e-03, J_length=1.4e-06, J_CC=1.5e-06, J_CURVATURE=0.0e+00, J_MSC=3.3e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.2, curvature=[4.4, 4.5, 4.4, 4.4], mean squared curvature=[6.3, 6.4, 6.3, 6.2]
fun_coils#12 - J=3.2e-03, Jf=2.9e-03, ⟨B·n⟩=9.8e-03, C-C-Sep=0.09 Jf=2.9e-03, J_length=1.4e-06, J_CC=9.7e-07, J_CURVATURE=0.0e+00, J_MSC=3.3e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.6, 3.6])=14.2, curvature=[4.2, 4.3, 4.5, 4.4], mean squared curvature=[6.2, 6.3, 6.4, 6.2]
fun_coils#13 - J=3.1e-03, Jf=2.7e-03, ⟨B·n⟩=9.6e-03, C-C-Sep=0.09 Jf=2.7e-03, J_length=1.4e-06, J_CC=5.8e-07, J_CURVATURE=0.0e+00, J_MSC=3.4e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.6, 3.6])=14.2, curvature=[4.0, 4.3, 4.7, 4.5], mean squared curvature=[6.1, 6.4, 6.5, 6.3]
fun_coils#14 - J=2.9e-03, Jf=2.5e-03, ⟨B·n⟩=9.2e-03, C-C-Sep=0.09 Jf=2.5e-03, J_length=1.4e-06, J_CC=2.2e-07, J_CURVATURE=0.0e+00, J_MSC=3.9e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.6, 3.6])=14.2, curvature=[3.6, 4.3, 4.9, 4.7], mean squared curvature=[6.0, 6.4, 6.7, 6.4]
fun_coils#15 - J=2.7e-03, Jf=2.4e-03, ⟨B·n⟩=9.1e-03, C-C-Sep=0.09 Jf=2.4e-03, J_length=1.4e-06, J_CC=1.3e-07, J_CURVATURE=1.1e-07, J_MSC=3.8e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.6, 3.6])=14.2, curvature=[3.7, 4.2, 5.3, 4.8], mean squared curvature=[6.0, 6.3, 6.8, 6.4]
fun_coils#16 - J=2.6e-03, Jf=2.3e-03, ⟨B·n⟩=9.0e-03, C-C-Sep=0.09 Jf=2.3e-03, J_length=1.4e-06, J_CC=1.5e-07, J_CURVATURE=1.6e-08, J_MSC=3.3e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.6, 3.6])=14.2, curvature=[3.8, 4.3, 5.1, 5.0], mean squared curvature=[6.0, 6.2, 6.5, 6.4]
fun_coils#17 - J=2.5e-03, Jf=2.2e-03, ⟨B·n⟩=8.8e-03, C-C-Sep=0.09 Jf=2.2e-03, J_length=1.4e-06, J_CC=1.4e-07, J_CURVATURE=0.0e+00, J_MSC=3.3e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.6, 3.6])=14.2, curvature=[3.9, 4.4, 4.9, 4.9], mean squared curvature=[6.0, 6.3, 6.5, 6.4]
fun_coils#18 - J=2.4e-03, Jf=2.0e-03, ⟨B·n⟩=8.4e-03, C-C-Sep=0.09 Jf=2.0e-03, J_length=1.4e-06, J_CC=1.1e-07, J_CURVATURE=0.0e+00, J_MSC=3.9e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.1, 4.2, 4.3, 4.6], mean squared curvature=[6.1, 6.4, 6.6, 6.4]
fun_coils#19 - J=2.2e-03, Jf=1.6e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=1.6e-03, J_length=1.4e-06, J_CC=1.2e-07, J_CURVATURE=0.0e+00, J_MSC=6.1e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.6, 4.0, 4.5, 4.5], mean squared curvature=[6.5, 6.8, 7.0, 6.6]
fun_coils#20 - J=2.1e-03, Jf=1.5e-03, ⟨B·n⟩=7.4e-03, C-C-Sep=0.09 Jf=1.5e-03, J_length=1.4e-06, J_CC=8.7e-08, J_CURVATURE=0.0e+00, J_MSC=5.3e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.3, 4.0, 4.9, 4.5], mean squared curvature=[6.3, 6.7, 6.9, 6.6]
fun_coils#21 - J=1.9e-03, Jf=1.4e-03, ⟨B·n⟩=7.2e-03, C-C-Sep=0.09 Jf=1.4e-03, J_length=1.4e-06, J_CC=7.1e-08, J_CURVATURE=0.0e+00, J_MSC=5.2e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.2, 4.1, 4.7, 4.4], mean squared curvature=[6.3, 6.7, 6.8, 6.6]
fun_coils#22 - J=1.8e-03, Jf=1.2e-03, ⟨B·n⟩=6.8e-03, C-C-Sep=0.09 Jf=1.2e-03, J_length=1.4e-06, J_CC=7.6e-08, J_CURVATURE=0.0e+00, J_MSC=5.7e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[4.3, 4.2, 4.4, 4.3], mean squared curvature=[6.5, 6.8, 6.8, 6.7]
fun_coils#23 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.09 Jf=1.0e-03, J_length=1.4e-06, J_CC=1.1e-07, J_CURVATURE=0.0e+00, J_MSC=7.9e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[4.5, 4.7, 4.7, 4.4], mean squared curvature=[6.6, 7.0, 7.3, 7.0]
fun_coils#24 - J=1.8e-03, Jf=1.1e-03, ⟨B·n⟩=6.6e-03, C-C-Sep=0.09 Jf=1.1e-03, J_length=1.4e-06, J_CC=9.0e-08, J_CURVATURE=0.0e+00, J_MSC=6.1e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[4.4, 4.3, 4.2, 4.3], mean squared curvature=[6.5, 6.8, 6.9, 6.8]
fun_coils#25 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.09 Jf=1.0e-03, J_length=1.4e-06, J_CC=1.2e-07, J_CURVATURE=0.0e+00, J_MSC=6.2e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[4.4, 4.4, 4.4, 4.2], mean squared curvature=[6.6, 6.9, 6.9, 6.7]
fun_coils#26 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.09 Jf=1.0e-03, J_length=1.4e-06, J_CC=1.2e-07, J_CURVATURE=0.0e+00, J_MSC=6.1e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[4.4, 4.6, 4.4, 4.2], mean squared curvature=[6.6, 6.8, 6.8, 6.7]
fun_coils#27 - J=1.6e-03, Jf=9.8e-04, ⟨B·n⟩=6.2e-03, C-C-Sep=0.09 Jf=9.8e-04, J_length=1.4e-06, J_CC=9.4e-08, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[4.4, 4.5, 4.6, 4.2], mean squared curvature=[6.6, 6.8, 6.8, 6.7]
fun_coils#28 - J=1.5e-03, Jf=9.3e-04, ⟨B·n⟩=6.1e-03, C-C-Sep=0.09 Jf=9.3e-04, J_length=1.4e-06, J_CC=4.9e-08, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[4.3, 4.6, 4.7, 4.3], mean squared curvature=[6.5, 6.9, 6.8, 6.7]
fun_coils#29 - J=1.5e-03, Jf=8.9e-04, ⟨B·n⟩=6.0e-03, C-C-Sep=0.09 Jf=8.9e-04, J_length=1.4e-06, J_CC=2.1e-08, J_CURVATURE=0.0e+00, J_MSC=5.9e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.5, curvature=[4.2, 4.4, 4.6, 4.3], mean squared curvature=[6.5, 6.8, 6.8, 6.7]
fun_coils#30 - J=1.4e-03, Jf=8.3e-04, ⟨B·n⟩=5.8e-03, C-C-Sep=0.10 Jf=8.3e-04, J_length=1.4e-06, J_CC=2.2e-09, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=1.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.5, curvature=[4.1, 4.4, 4.6, 4.3], mean squared curvature=[6.6, 6.8, 6.8, 6.7]
fun_coils#31 - J=1.4e-03, Jf=7.9e-04, ⟨B·n⟩=5.7e-03, C-C-Sep=0.10 Jf=7.9e-04, J_length=1.5e-06, J_CC=5.4e-11, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.5, curvature=[4.1, 4.4, 4.6, 4.4], mean squared curvature=[6.6, 6.8, 6.8, 6.7]
fun_coils#32 - J=1.3e-03, Jf=7.4e-04, ⟨B·n⟩=5.6e-03, C-C-Sep=0.10 Jf=7.4e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.6, 3.6, 3.6])=14.5, curvature=[4.1, 4.5, 4.7, 4.4], mean squared curvature=[6.6, 6.9, 6.8, 6.7]
fun_coils#33 - J=1.3e-03, Jf=7.1e-04, ⟨B·n⟩=5.5e-03, C-C-Sep=0.11 Jf=7.1e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.6, 3.6, 3.6])=14.6, curvature=[4.3, 4.4, 4.7, 4.5], mean squared curvature=[6.6, 6.9, 6.8, 6.6]
fun_coils#34 - J=1.3e-03, Jf=7.1e-04, ⟨B·n⟩=5.5e-03, C-C-Sep=0.11 Jf=7.1e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.7e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.6, 3.6, 3.6])=14.6, curvature=[4.3, 4.4, 4.5, 4.4], mean squared curvature=[6.5, 6.8, 6.8, 6.6]
fun_coils#35 - J=1.3e-03, Jf=7.0e-04, ⟨B·n⟩=5.5e-03, C-C-Sep=0.11 Jf=7.0e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.5e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.6, 3.6, 3.6])=14.6, curvature=[4.4, 4.6, 4.5, 4.4], mean squared curvature=[6.5, 6.8, 6.7, 6.6]
fun_coils#36 - J=1.2e-03, Jf=6.8e-04, ⟨B·n⟩=5.4e-03, C-C-Sep=0.11 Jf=6.8e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.4e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.6, 3.6, 3.6])=14.6, curvature=[4.5, 4.7, 4.4, 4.3], mean squared curvature=[6.5, 6.8, 6.7, 6.6]
fun_coils#37 - J=1.2e-03, Jf=6.4e-04, ⟨B·n⟩=5.2e-03, C-C-Sep=0.11 Jf=6.4e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.3e-04, J_ALS=1.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.6, 3.6])=14.6, curvature=[4.6, 4.7, 4.5, 4.3], mean squared curvature=[6.6, 6.7, 6.7, 6.6]
fun_coils#38 - J=1.1e-03, Jf=6.1e-04, ⟨B·n⟩=5.2e-03, C-C-Sep=0.11 Jf=6.1e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.1e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.6, 3.6])=14.6, curvature=[4.5, 4.7, 4.4, 4.3], mean squared curvature=[6.6, 6.7, 6.6, 6.5]
fun_coils#39 - J=1.1e-03, Jf=5.8e-04, ⟨B·n⟩=5.1e-03, C-C-Sep=0.11 Jf=5.8e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.9e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.6, 3.6])=14.7, curvature=[4.5, 4.5, 4.2, 4.3], mean squared curvature=[6.6, 6.6, 6.6, 6.5]
fun_coils#40 - J=1.0e-03, Jf=5.8e-04, ⟨B·n⟩=5.0e-03, C-C-Sep=0.12 Jf=5.8e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.7e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.6])=14.7, curvature=[4.4, 4.4, 4.3, 4.3], mean squared curvature=[6.6, 6.6, 6.5, 6.4]
fun_coils#41 - J=1.0e-03, Jf=5.8e-04, ⟨B·n⟩=5.0e-03, C-C-Sep=0.12 Jf=5.8e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.5e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.6])=14.7, curvature=[4.4, 4.4, 4.3, 4.3], mean squared curvature=[6.6, 6.6, 6.5, 6.4]
